stat,family,mean,variance,stored_mass,overflow,normalization_error,support_max
pts,mixture,15.270087744809098,44.47069981708992,0.9999999862484934,1.3751507165482499e-08,6.661338147750939e-16,80
pts,mixture,7.712347622400163,23.949187815109788,0.9999999994329456,5.670545904923901e-10,2.220446049250313e-16,80
pts,mixture,7.254497638657714,15.702450526455841,0.9999999999999399,6.033801620493288e-14,2.220446049250313e-16,80
pts,mixture,4.083382435660926,13.893676311630752,0.9999999955925513,4.407449179989851e-09,4.440892098500626e-16,80
pts,mixture,13.343313440701085,37.116657770587864,0.9999999978689358,2.1310642255387423e-09,0.0,80
pts,mixture,9.315136781710693,24.662368401193348,0.9999999995098348,4.901652775748812e-10,0.0,80
pts,mixture,1.9104217704676956,4.099857201623228,0.9999999999999948,5.372985371679192e-15,2.220446049250313e-16,80
pts,mixture,3.991169386488873,10.99354098918118,0.99999999995177,4.823000492491539e-11,0.0,80
pts,mixture,16.46977256325861,52.308487209346424,0.999999858167749,1.4183225120649494e-07,2.220446049250313e-16,80
pts,mixture,5.211690938872057,13.88626161837712,0.9999999998775824,1.224175825043061e-10,0.0,80
pts,mixture,6.689267104320668,19.369788384356724,0.9999999999250991,7.490117606000167e-11,2.220446049250313e-16,80
pts,mixture,8.285766488982972,25.891033477615096,0.9999999993704835,6.295165252206642e-10,0.0,80
pts,mixture,3.1617366266523517,8.330226147528702,0.9999999999847842,1.521572871663424e-11,1.1102230246251565e-16,80
pts,mixture,10.265722195812737,26.845904359095798,0.9999999997488537,2.511464750336153e-10,2.220446049250313e-16,80
pts,mixture,4.557583960480139,13.669091493068425,0.9999999994676034,5.323963440729867e-10,2.220446049250313e-16,80
pts,mixture,10.449627415171575,36.84920070703073,0.999999980045337,1.9954663153550375e-08,2.220446049250313e-16,80
pts,mixture,14.144422243344557,40.6912393248538,0.9999999931951731,6.804827499203544e-09,6.661338147750939e-16,80
pts,mixture,2.700350442571065,5.705666545931241,0.999999999999999,9.690157546534602e-16,0.0,80
pts,mixture,5.006268756702422,19.353840799442622,0.9999999606006229,3.9399377587090724e-08,4.440892098500626e-16,80
pts,mixture,4.3923314416966805,16.362583935555225,0.9999999725164045,2.7483595930144885e-08,4.440892098500626e-16,80
pts,mixture,3.0709912846294576,7.5405663895295625,0.9999999999989206,1.0790943684066357e-12,2.220446049250313e-16,80
pts,mixture,3.9481005981858313,13.89338157023976,0.999999988570693,1.1429307221165513e-08,2.220446049250313e-16,80
pts,mixture,2.3847776468942468,7.138732558732088,0.9999999984055644,1.5944356330692604e-09,0.0,80
pts,mixture,16.618034342934912,52.30156237077847,0.9999998761494403,1.2385055985887444e-07,2.220446049250313e-16,80
pts,mixture,7.453490361349995,24.15559141642676,0.9999999978583999,2.1416004753414207e-09,4.440892098500626e-16,80
pts,mixture,7.909170369818057,26.004670707586193,0.9999999970390978,2.960902419900208e-09,2.220446049250313e-16,80
